Date,Close ,Volume
2023-11-10,16286.7,44352330.0
2023-11-12,16377.05,7184954.0
2023-11-13,16365.3,27037348.0
2023-11-15,16648.5,43869066.0
2023-11-16,16788.9,41826716.0
2023-11-17,16905.5,45613210.0
2023-11-20,16777.3,33845576.0
2023-11-21,16860.1,38249842.0
2023-11-22,16972.2,43697884.0
2023-11-23,17033.55,28388853.0
2023-11-24,17040.35,29832601.0
2023-11-28,17202.75,46757062.0
2023-11-29,17482.45,66065563.0
2023-11-30,17551.85,81814040.0
2023-12-01,17489.05,50137533.0
2023-12-04,17687.25,66188276.0
2023-12-05,17792.1,49097601.0
2023-12-06,17788.4,48230509.0
2023-12-07,17867.35,42433008.0
2023-12-08,17769.1,42856813.0
2023-12-11,17852.3,54237036.0
2023-12-12,17726.5,40242369.0
2023-12-13,17917.9,41820976.0
2023-12-14,18045.05,58754702.0
2023-12-15,18038.25,52909545.0
2023-12-18,18068.25,35153021.0
2023-12-19,17932.7,32126372.0
2023-12-20,17523.55,53666032.0
2023-12-21,17537.85,49255611.0
2023-12-22,17778.9,38606765.0
2023-12-26,17953.55,39441172.0
2023-12-27,18224.85,55165607.0
2023-12-28,18408.6,54346500.0
2023-12-29,18618.2,158226628.0
2024-01-01,18594.35,111119738.0
2024-01-02,18339.35,80495853.0
2024-01-03,18317.5,49691190.0
2024-01-04,18326.75,59064589.0
2024-01-05,18406.95,56528639.0
2024-01-08,18350.2,60751582.0
2024-01-09,18519.8,64931318.0
2024-01-10,18559.1,55216503.0
2024-01-11,18755.1,67888356.0
2024-01-12,18715.2,48862199.0
2024-01-15,18765.25,48437034.0
2024-01-16,18712.7,46996165.0
2024-01-17,18447.25,49750584.0
2024-01-18,18496.25,52982976.0
2024-01-19,18694.6,36218101.0
2024-01-20,18651.1,19996841.0
2024-01-23,18361.0,63360536.0
2024-01-24,18593.7,48266011.0
2024-01-25,18614.9,76636303.0
2024-01-29,18927.25,62622012.0
2024-01-30,18878.35,49829948.0
2024-01-31,19227.15,61585425.0
2024-02-01,19328.7,55933737.0
2024-02-02,19380.5,55128244.0
2024-02-05,19615.3,115089413.0
2024-02-06,19903.85,102438688.0
2024-02-07,19903.8,54477950.0
2024-02-08,19649.5,42430202.0
2024-02-09,19576.0,44856871.0
2024-02-12,19419.6,53756038.0
2024-02-13,19433.05,57177542.0
2024-02-14,19716.0,43003879.0
2024-02-15,19981.7,37820857.0
2024-02-16,20423.45,
2024-02-19,20481.6,31267852.0
2024-02-20,20354.25,41518331.0
2024-02-21,20252.55,62180748.0
2024-02-22,20584.85,39334321.0
2024-02-23,20621.35,40071761.0
2024-02-26,20642.4,40767584.0
2024-02-27,20788.55,43485259.0
2024-02-28,20372.35,66452626.0
2024-02-29,20412.4,79203346.0
2024-03-01,20871.95,50775858.0
2024-03-02,20941.95,6271898.0
2024-03-04,20840.2,50656410.0
2024-03-05,21121.2,120846591.0
2024-03-06,21181.3,494641650.0
2024-03-07,21126.8,64684764.0
2024-03-11,21001.15,57255910.0
2024-03-12,20931.85,44597983.0
2024-03-13,20338.25,78929944.0
