headline,date
Classic Legends aim at higher sales in premium motorcycles segment,"October 05, 2024 02:20 PM"
Nissan launches 2024 Magnite SUV facelift at Rs 5.99 lakh,"October 04, 2024 08:25 PM"
Nissan invests $100 million to enhance India as export hub for compact SUV Magnite,"October 04, 2024 07:53 PM"
"MG Windsor EV sees 15,176 bookings on the first day","October 04, 2024 03:16 PM"
Mahindra forays into electric small commercial segment with all new ZEO,"October 04, 2024 12:34 PM"
Germany to vote against EU tariffs on Chinese EVs: Sources,"October 04, 2024 10:58 AM"
Kia launches electric SUV EV9 at Rs 1.30 crore,"October 03, 2024 10:53 PM"
"Tesla issues 5th recall for the new Cybertruck within a year, the latest due to rearview camera","October 03, 2024 06:24 PM"
"Kia India to drive in its mass market e-car by next year, aims for 15%-18% share in EV market by 2030","October 03, 2024 05:48 PM"
"Mahindra Thar ROXX clocks 1.76 lakh bookings in 60 minutes, deliveries from Dussehra","October 03, 2024 01:20 PM"
"Kia India launches electric SUV EV9 for Rs 1.3 crore, new-gen Carnival MPV for Rs 63.9 lakh","October 03, 2024 12:57 PM"
H D Kumaraswamy tells automakers to follow PM E-DRIVE norms,"October 02, 2024 03:20 PM"
"PV sales fall nearly 2% at 3.57 lakh units in September, 3rd month of decline","October 01, 2024 08:59 PM"
"Govt launches PM E-DRIVE subsidy scheme with Rs 10,900 cr outlay","October 01, 2024 06:27 PM"
Spike in pre-owned SUV demand fuels used-car market boom,"October 01, 2024 04:56 PM"
"Ford in talks to make EVs in way back to India, says Tamil Nadu minister","October 01, 2024 12:52 PM"
India likely to tighten localisation rules for EV makers by 2025: Report,"September 30, 2024 12:02 PM"
"Stalin lays foundation stone for Tata Motors' Rs 9,000 cr manufacturing plant in TN","September 28, 2024 12:43 PM"
"Kia, Mercedes, BYD set to launch new models in coming weeks; Maruti Suzuki gearing up for all-new Dzire","September 27, 2024 06:32 PM"
Toyota says it will end Olympics and Paralympics sponsor contract,"September 26, 2024 12:28 PM"
Thar ROXX 4x4 variants priced between Rs 18.79-22.49 lakh,"September 25, 2024 06:44 PM"
"Euler Motors enters electric LCV market, launches Storm EV at Rs 8.99 lakh","September 25, 2024 04:14 PM"
"Foxconn, Stellantis JV set up R&D for automotive semiconductors tech in India","September 24, 2024 10:16 PM"
The Drive Report: Mercedes-Benz EQS SUV,"September 24, 2024 05:25 PM"
"Tata Motors launches new Nexon variants; CNG model starts at Rs 8.99 lakh, EV at Rs 13.99 lakh","September 24, 2024 02:35 PM"
myTVS rolls out mobility-as-a-service platform for last-mile EV fleet player,"September 23, 2024 03:02 PM"
"In its new innings in India, Ford to focus on electric vehicles","September 23, 2024 01:26 PM"
2024 Hyundai Alcazar: Here's a comprehensive overview,"September 22, 2024 06:27 PM"
"Mercedes EQS SUV features: Active range monitoring, memory parking combine luxury with innovation","September 21, 2024 10:41 PM"
"MG Windsor EV variant-wise prices announced, starts from Rs 13.49 lakh with battery","September 21, 2024 04:23 PM"
"PM E-DRIVE likely to boost local EV manufacturing in a phased manner, to replace FAME: Report","September 21, 2024 07:02 AM"
"BaaS effect: MG Comet now more affordable as starting price comes down to Rs 4.99 lakh, ZS EV at Rs 13.99 lakh","September 20, 2024 06:02 PM"
The Drive Report: 2024 Hyundai Alcazar,"September 18, 2024 06:12 PM"
"Bajaj Auto launches Triumph's T4 and Speed 400, new motorcycles in 400cc category","September 17, 2024 01:02 PM"
Mahindra & Mahindra launches new LCV 'Veero' at starting price of Rs 7.99 lakh,"September 16, 2024 05:03 PM"
TVS Motor launches new TVS Apache RR 310 at starting price of Rs 2.75 lakh  ,"September 16, 2024 04:34 PM"
JSW MG Motor India targets 'new-age' buyers with first luxury car by March,"September 16, 2024 12:23 PM"
CNG and Hybrids surge in India as EV adoption struggles: Report,"September 15, 2024 08:30 AM"
MG Motor Windsor EV: All you need to know about the battery subscription plan,"September 14, 2024 06:48 PM"
Passenger vehicle wholesales dip 2% in August as OEMs cut dispatches,"September 13, 2024 06:19 PM"
"Honda’s two-wheeler arm targets up to 12% growth, despite EV onslaught from rivals","September 13, 2024 03:52 PM"
"Yamaha launches R15M with carbon fibre graphics, enhanced features; price starts at Rs 1.98 lakh","September 13, 2024 02:51 PM"
Ford Motor plans to restart manufacturing plant in Tamil Nadu,"September 13, 2024 12:28 PM"
Mahindra & Tata Motors applaud PM e-drive scheme for boosting EV adoption,"September 13, 2024 10:10 AM"
"Windsor will become our top seller, raising EV share in sales to over 50% by year-end: JSW MG Motor CEO Emeritus Rajeev Chaba","September 12, 2024 08:22 PM"
"GM, Hyundai Motor to explore joint vehicle development projects","September 12, 2024 04:17 PM"
"Tata Motors, MG Motor offer free charging, battery rentals to lure EV buyers","September 12, 2024 02:47 PM"
China directs its carmakers not to make auto-related investments in India,"September 12, 2024 10:17 AM"
"Intend to move away from conventional vehicles, focus on NEVs: JSW MG Motor Director Parth Jindal","September 11, 2024 10:26 PM"
"Cabinet approves PM E-Drive scheme with Rs 10,900 crore outlay","September 11, 2024 08:24 PM"
"Ashok Leyland will continue to fund Switch Mobility, consider investors at right valuation later, says MD & CEO","September 11, 2024 06:59 PM"
"JSW MG Motor unveils Windsor EV, launched at Rs 9.99 lakh","September 11, 2024 01:29 PM"
FADA appoints CS Vigneshwar as the new president,"September 11, 2024 01:11 PM"
Tamil Nadu CM Stalin discusses India re-entry with Ford Motors,"September 11, 2024 11:52 AM"
Volkswagen's Skoda CEO sees opportunity to launch hybrid cars in India,"September 10, 2024 05:57 PM"
"HMSI to enter EV space this fiscal, eyes a third of sales from the segment by 2030","September 10, 2024 05:57 PM"
"Tata Motors cuts prices of Tiago, Punch, Nexon EVs by up to Rs 3 lakh","September 10, 2024 12:32 PM"
"Facelifted Alcazar to bring in a new set of customers, sell higher volumes in urban markets, says Hyundai Motor India COO","September 09, 2024 08:59 PM"
"Indian auto industry could be worth $1.6 trillion by 2047, EVs driving that boom, says IN-SPACe's Pawan Goenka","September 09, 2024 06:22 PM"
All-new Hyundai Alcazar launched at Rs 14.99 lakh,"September 09, 2024 06:06 PM"
"Hyundai launches Alcazar facelift in India, prices start at Rs 14.99 lakh","September 09, 2024 03:49 PM"
"Indian electric two wheeler-maker Ather Energy files for IPO, including Rs 3,100 crore fresh issue","September 09, 2024 12:47 PM"
"EMPS to be extended beyond September for EVs, says Minister Kumaraswamy","September 09, 2024 12:42 PM"
"EV prices to match petrol, diesel vehicles in two years, says Nitin Gadkari","September 09, 2024 12:16 PM"
"Auto part makers must engage with India's chip industry early on, says Maruti's MD and CEO","September 09, 2024 11:36 AM"
Mahindra & Mahindra announces ‘e-ZEO’ commercial electric four-wheeler on World EV Day,"September 09, 2024 10:25 AM"
"As Volkswagen weighs its first closure of a German auto plant, workers aren't the only ones worried","September 08, 2024 01:21 PM"
"There's a little bit of India in every Merc sold  today: Manu Saale, MD, Mercedes India R&D","September 06, 2024 03:55 PM"
"New variants of Hyundai Exter SUV launched, prices start from Rs 7.86 lakh","September 06, 2024 03:18 PM"
From Rs 10 lakh to Rs 2.25 crore: It's raining car launches this festive season,"September 05, 2024 05:58 PM"
Mercedes sees India becoming one of top 5 markets as it launches first-ever all-electric Maybach,"September 05, 2024 05:38 PM"
The Drive Report: Honda Elevate MT,"September 05, 2024 04:41 PM"
Mercedes-Maybach EQS 680 launched at Rs 2.25 cr: All about the electric SUV,"September 05, 2024 03:40 PM"
"Consumers opting for EVs, no longer need to be subsidised, says Nitin Gadkari","September 05, 2024 12:44 PM"
Passenger vehicle retails dip 5% in August; FADA raises alarm over rising inventory level,"September 05, 2024 10:41 AM"
Volvo Cars abandons 2030 EV-only target,"September 05, 2024 08:53 AM"
BYD's global expansion push runs into stiff Japan test,"September 05, 2024 08:24 AM"
"Despite trimmed wholesale despatches by carmakers, dealers' inventory swells to 7.5 lakh units","September 04, 2024 04:02 PM"
Volvo Cars to deliver first EX90 SUVs this month after delay,"September 04, 2024 12:10 PM"
"Kia, Audi top customer experience index: FADA study","September 03, 2024 07:42 PM"
Carmakers bet on discounts and price cuts to entice buyers ahead of festive season,"September 03, 2024 03:31 PM"
Maruti Suzuki to expand into small towns with Arena Satellite showrooms: Report,"September 03, 2024 08:56 AM"
Hero MotoCorp may pump Rs 900 cr into Bengaluru startup for electric 3-wheeler foray: Report,"September 03, 2024 08:35 AM"
"Electric 2W sales decline 18% MoM to 88,473 units in August; Ola Electric’s sales slide","September 02, 2024 03:53 PM"
"Tata Curvv launches petrol variant priced at Rs 10 lakh, diesel variant at Rs 11.5 lakh","September 02, 2024 02:37 PM"
"Mahindra Auto sales up 9% in August at 76,755 units","September 02, 2024 12:56 PM"
"Hero MotoCorp sales rise 5% to 5,12,360 units in August","September 01, 2024 10:17 PM"
"TVS Motor sales up 13% in August at 3,91,588 units","September 01, 2024 08:19 PM"
"Hyundai sales decline 12% to 63,175 units in August","September 01, 2024 06:30 PM"
Passenger vehicle sales decline by 2% to 3.5 lakh units in August,"September 01, 2024 06:27 PM"
"Kia India sales up 17% to 22,523 units in August","September 01, 2024 05:35 PM"
"Maruti Suzuki total sales dip 4% to 1,81,782 units in August","September 01, 2024 01:44 PM"
Toyota Kirloskar Motor partners with Union Bank of India for vehicle financing solutions,"August 31, 2024 05:03 PM"
Bullish on Indian market potential for super luxury cars: Aston Martin,"August 30, 2024 08:09 PM"
India has potential to be in Maserati's top 10 global markets in mid term: Official,"August 30, 2024 05:11 PM"
"Maserati launches 2nd-gen GranTurismo in India, prices start from Rs 2.72 crore","August 30, 2024 04:19 PM"
"Maserati unveils two new luxury GranTurismo variants in India, plans to launch all-electric variant Folgore","August 30, 2024 04:17 PM"
"Hybrid cars surge ahead with 27% growth in India, outpacing electric vehicles","August 30, 2024 03:21 PM"
